ts_code_x	trade_date	open	high	low	close_x	pre_close	change	pct_chg	vol	amount	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv	open_close_chg
605077.SH	20210209	43.6338	52.3592	43.6338	52.3592	36.3592	16.0	44.0054	6295.42	46794.058	2.1604	2.1604		32.0837	29.1463	3.8671	5.7360000000000015	6.4218			11656.0	2914.0	2914.0	866623.6	216655.9	0.10006646396430802
605077.SH	20210210	57.5986	57.5986	57.5986	57.5986	52.3592	5.239399999999995	10.0066	2280.15	18649.347	0.7825	0.7825		35.2942	32.0629	4.2541	6.31	7.0644			11656.0	2914.0	2914.0	953344.24	238336.06	0.10001284753448876
605077.SH	20210218	63.3592	63.3592	63.3592	63.3592	57.5986	5.760600000000004	10.0013	3134.62	28202.176	1.0757	1.0757		38.824	35.2695	4.6795	6.941	7.7709			11656.0	2914.0	2914.0	1048690.32	262172.58	0.10003282869733193
605077.SH	20210219	69.6972	69.6972	69.6972	69.6972	63.3592	6.337999999999994	10.0033	2293.11	22694.91	0.7869	0.7869		42.7077	38.7977	5.1476	7.6354	8.5483			11656.0	2914.0	2914.0	1153594.32	288398.58	0.100029843379648
605077.SH	20210222	76.669	76.669	76.669	76.669	69.6972	6.971800000000003	10.003	8695.03	94662.792	2.9839	2.9839		46.9798	42.6786	5.6625	8.3991	9.4034			11656.0	2914.0	2914.0	1268988.72	317247.18	0.056305677653288866
605077.SH	20210223	80.9859	84.338	79.5775	84.338	76.669	7.668999999999998	10.0027	107186.76	1264956.24	36.7834	36.7834	23.61	51.6791	46.9476	6.2289	9.2393	10.344			11656.0	2914.0	2914.0	1395922.56	348980.64	0.027471602361924686
605077.SH	20210224	86.6549	88.4507	77.6268	78.0915	84.338	-6.2464999999999975	-7.4065	129511.82	1510057.645	44.4447	44.4447	5.24	47.8515	43.4705	5.7676	8.555	9.5778			11656.0	2914.0	2914.0	1292533.84	323133.46	-0.02606173527208471
605077.SH	20210225	76.0563	80.2817	71.9014	72.5352	78.0915	-5.556299999999993	-7.1151	96298.68	1038357.994	33.0469	33.0469	1.92	44.4468	40.3775	5.3572	7.9463	8.8964			11656.0	2914.0	2914.0	1200568.0	300142.0	-0.0485433279290607
605077.SH	20210226	69.0141	70.0704	65.2817	65.493	72.5352	-7.042200000000008	-9.7087	69403.07	665141.8829999999	23.8171	23.8171	1.01	40.1316	36.4573	4.8371	7.1748	8.0326			11656.0	2914.0	2914.0	1084008.0	271002.0	0.044085627471638356
605077.SH	20210301	68.3803	71.3028	67.0282	67.6056	65.493	2.1126000000000005	3.2257	47036.64	458882.146	16.1416	16.1416	0.57	41.4261	37.6334	4.9931	7.4062	8.2918			11656.0	2914.0	2914.0	1118976.0	279744.0	0.00010502088584389935
605077.SH	20210302	67.6127	67.7465	62.5915	63.2465	67.6056	-4.359099999999998	-6.4478	55436.4	508389.066	19.0242	19.0242	0.62	38.755	35.2068	4.6712	6.9287	7.7571			11656.0	2914.0	2914.0	1046825.36	261706.34	-0.002895021858917032
605077.SH	20210303	63.0634	64.4225	62.8028	63.3451	63.2465	0.0986000000000046	0.1559	40416.79	365141.394	13.8699	13.8699	0.51	38.8154	35.2617	4.6785	6.9395	7.7692			11656.0	2914.0	2914.0	1048457.2	262114.3	-0.012785519321936487
605077.SH	20210304	62.5352	64.6408	62.0423	62.5634	63.3451	-0.7817000000000007	-1.234	31273.34	280234.827	10.7321	10.7321	0.51	38.3364	34.8266	4.6207	6.8539	7.6733			11656.0	2914.0	2914.0	1035519.04	258879.76	-0.010018637094531354
